Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.999650635794995,0.9990560719482937,0.999986877673674,0.9995212581074612
Decision Tree,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0
K-Nearest Neighbors,0.999990428377945,0.9999737560361117,1.0,0.9999868778458672
SVM,0.9997798526927366,0.9994098360655738,0.999986877673674,0.9996982736002519
